 UPDATED LINE UP - MAY 17th 2021.,,,,,
VESSEL,POSITION,SHIFT,QTTY,COMMODITY,DESTINATION
ALIANCA MANAUS,ETA 27/05/2021,LOAD/DISCH,,CONTAINERS,VARIOUS
,,,,,
CAMPANA,,,,,
SIDERCA:,,,,,
NARIE,ALONGSIDE,WAITING FOR BUNKER SUPPLY,,*******,*****
NAVIOS FELICITY,ETA 18/05,DISCHARGE,"45,000",IRON ORE,SIDERCA
BBC EMERALD,ETA 22/05,LOAD,"8,000",STEEL PIPES,SIDERCA
BBC NEW CASTLE,ETA 28/04,LOAD,"7,600",STEEL PIPES,SIDERCA
,,,,,
EUROAMERICA:,,,,,
CROWN OPAL ,ETA 23/05/2021,LOAD,"6,000",CITRUS,VARIOUS
,,,,,
TAJIBER:,,,,,
NIL,,,,,
,,,,,
DEPSA:,,,,,
NIL,,,,,
,,,,,
PAE:,,,,,
CELCIUS MANILA,ALONGSIDE,LOAD,20.000,NAPHTA,VARIOUS
CRESTY,RECA 21/05/2021,LOAD ,25.000,PETCOKE,INCHAPE
,,,,,
TCC ( EX RHASA ):,,,,,
NIL,,,,,
,,,,,
MARIPASA:,,,,,
BELMOIRA,ALONGSIDE   ,PERFORMING HOLDS CLEANING,,,
,,,,,
TAGSA:,,,,,
STOLT SEA,ETA 28/05/2021,DISCH,"3,145",CHEMICALS,VARIOUS
,,,,,
CARBOCLOR: ,,,,,
BOW ARCHITEC,ETA 23/05/2021,C/TBC,TBC,TALLOW,TBC
,,,,,
PETROMINING:,,,,,
NIL,,,,,
